Empresa;Projeto;Categoria;jan/24;fev/24;mar/24;abr/24;mai/24;jun/24;jul/24;ago/24;set/24;out/24;nov/24;dez/24;jan/25;fev/25;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25;jan/26;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Equipamentos;;;;;;;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615;615;;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Equipamentos;;;;;;;;;;;;;;;;;;;;;;;;639;639;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Equipamentos;;;;;;;;;;;245;245;245;245;245;245;245;245;245;245;245;245;245;;;
Mar_BR;Oftalmo;Equipamentos;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;;;;;;;;;;
Mar_BR;PG - 171;Equipamentos;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;1820;;;;;;;;;;;;;;;
Mar_BR;PG - Chiller;Equipamentos;301;301;301;301;301;301;301;301;301;301;301;301;;;;;;;;;;;;;;
Mar_BR;Rede Alpha;Equipamentos;27;27;27;27;27;27;27;27;24;24;24;24;18;18;18;18;18;18;18;18;18;18;18;24;24;
Mar_BR;Rossi Advogados;Equipamentos;;;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Equipamentos;;1904;1904;1904;1904;1904;1904;1904;1904;1904;1904;1904;1904;1904;2284;2284;2284;2284;2284;2284;2284;2284;2284;2284;2284;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Equipamentos;;;;;;;;;;;;;;;408;408;408;408;408;408;408;408;408;381;381;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Impostos;0;0;0;0;0;0;0;0;0;6777;6840;6782;27122;1497;0;0;5545;;;;;;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Impostos;0;0;0;0;0;0;0;0;0;0;0;3616;3616;3851;3616;3616;2668;;;;;;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Impostos;8577;15621;10445;0;0;543;26037;12503;462;0;0;136;109;4000;104;1904;1930;;;;;;;;;
Mar_BR;Oftalmo;Impostos;2068;1632;1680;960;960;1220;1653;1653;1220;1653;1653;1220;1220;1220;1220;1337;0;;;;;;;;;
Mar_BR;PG - 171;Impostos;23687;22093;22784;15250;10103;14153;14153;14129;14137;1429;165;0;0;0;0;0;0;;;;;;;;;
Mar_BR;PG - Chiller;Impostos;8011;6479;2310;1748;1020;1488;1488;1488;1488;1488;1488;1488;0;0;0;0;0;;;;;;;;;
Mar_BR;Rede Alpha;Impostos;0;0;0;0;0;0;227;227;202;202;251;153;166;1006;151;151;151;;;;;;;;;
Mar_BR;Rossi Advogados;Impostos;0;0;0;25,27;53;53;53;53;53;53;53;0;29;67;67;67;67;;;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Impostos;0;0;70589;51647;51677;43992;43992;43992;43992;43992;43992;43992;43992;43992;52772;52772;52772;;;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Impostos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3710;5229;5705;;;;;;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Preventiva - B2B;0;0;0;0;0;0;67;0;5;0;0;0;0;0;0;0;25;;;;;;;;;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Preventiva - B2G;0;0;0;0;0;0;0;0;0;0;27;1407;1206;1326;1025;112;25;;;;;;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Preventiva - B2G;0;0;0;0;0;0;0;0;0;0;0;66;1701;264;459;49;480;;;;;;;;;
Mar_BR;Oftalmo;Preventiva - B2G;0;1;0;18;12;1;7;0;1;8;7;16;220;111;213;25;0;;;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Preventiva - B2G;0;34;0;421;747;116;894;377;230;208;174;423;5977;4036;5724;697;1830;;;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Preventiva - B2G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;49;22;;;;;;;;;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;0;0;0;3377;3409;3444;13772;733;0;0;2798;;;;;;;;;
