Empresa;Projeto;Categoria;jan/24;fev/24;mar/24;abr/24;mai/24;jun/24;jul/24;ago/24;set/24;out/24;nov/24;dez/24;jan/25;fev/25;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Impostos;8577;15621;10445;0;0;543;26037;12503;462;0;0;136;109;4000;104;1904;1930;;;;;;;
Mar_BR;Oftalmo;Impostos;2068;1632;1680;960;960;1220;1653;1653;1220;1653;1653;1220;1220;1220;1220;1337;0;;;;;;;
Mar_BR;PG - 171;Impostos;23687;22093;22784;15250;10103;14153;14153;14129;14137;1429;165;0;0;0;0;0;0;;;;;;;
Mar_BR;PG - Chiller;Impostos;8011;6479;2310;1748;1020;1488;1488;1488;1488;1488;1488;1488;0;0;0;0;0;;;;;;;
Mar_BR;Rede Alpha;Impostos;0;0;0;0;0;0;227;227;202;202;251;153;166;1006;151;151;151;;;;;;;
Mar_BR;Rossi Advogados;Impostos;0;0;0;25,27;53;53;53;53;53;53;53;0;29;67;67;67;67;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Impostos;0;0;70589;51647;51677;43992;43992;43992;43992;43992;43992;43992;43992;43992;52772;52772;52772;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Impostos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3710;5229;5705;;;;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Preventiva - B2B;0;0;0;0;0;0;67;0;5;0;0;0;0;0;0;0;25;;;;;;;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Preventiva - B2G;0;0;0;0;0;0;0;0;0;0;27;1407;1206;1326;1025;112;25;;;;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Preventiva - B2G;0;0;0;0;0;0;0;0;0;0;0;66;1701;264;459;49;480;;;;;;;
Mar_BR;Oftalmo;Preventiva - B2G;0;1;0;18;12;1;7;0;1;8;7;16;220;111;213;25;0;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Preventiva - B2G;0;34;0;421;747;116;894;377;230;208;174;423;5977;4036;5724;697;1830;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Preventiva - B2G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;49;22;;;;;;;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;0;0;0;3377;3409;3444;13772;733;0;0;2798;;;;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;0;0;0;0;0;1836;1815;1815;1804;1824;1819;;;;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;0;0;0;0;0;398;312;9536;299;5517;5584;;;;;;;
Mar_BR;Oftalmo;Provisão - IRPJ e CSSL Trimestral;0;0;0;825;824;824;838;831;824;824;824;839;810;830;825;333;0;;;;;3460;;
Mar_BR;Eventuais B2G;Provisão - IRPJ e CSSL Trimestral;0;0;0;8459;7057;7062;7179;7107;7051;7044;0;0;0;0;0;0;0;;;;;;;
Mar_BR;PG - 171;Provisão - IRPJ e CSSL Trimestral;0;0;0;8459;7057;7062;7179;7107;7051;7044;0;0;0;0;0;0;0;;;;;;;
Mar_BR;PG - Chiller;Provisão - IRPJ e CSSL Trimestral;0;0;0;743;742;743;755;748;742;742;741;755;0;0;0;0;0;;;;;;;
Mar_BR;Rede Alpha;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;362;359;319;319;396;245;261;1846;239;241;240;;;;;;;
Mar_BR;Rossi Advogados;Provisão - IRPJ e CSSL Trimestral;0;0;0;40;84;84;84;84;84;84;84;0;83;45;45;46;46;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Provisão - IRPJ e CSSL Trimestral;0;0;0;22430;21935;21964;22315;22129;21942;21934;21924;22339;21553;22085;26332;26628;26548;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1851;2638;2870;;;;;;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;0;0;0;0;0;1836;1815;1815;1804;1824;1819;;;;;;;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Receita Bruta de Vendas;0;0;0;0;0;0;0;0;0;59190;1488;59240;236878;13080;0;0;48432;;;;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Receita Bruta de Vendas;0;0;0;0;0;0;0;0;0;0;0;38947;35344;38026;31583;31583;31583;;;;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Receita Bruta de Vendas;57500;57500;80583;0;0;2828;138349;45242;95092;0;0;3750;3000;90410;2850;52166;52886;;;;;;;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Receita Bruta de Vendas;0;0;384217;384217;384217;384217;384217;384217;384217;384217;384217;384217;384217;384217;460899;460899;460899;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Receita Bruta de Vendas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32409;45673;49831;;;;;;;
Mar_BR;Oftalmo;Receita Bruta de Vendas;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;5776;0;;;;;;;
Mar_BR;Rede Alpha;Receita Bruta de Vendas;0;0;0;0;0;0;3420;3420;3040;3040;3775;2312;2508;17509;2280;2280;2280;;;;;;;
Mar_BR;Rossi Advogados;Receita Bruta de Vendas;0;0;0;380;800;800;800;800;800;800;800;0;800;800;800;800;800;;;;;;;
Mar_BR;PG - 171;Receita Bruta de Vendas;120824;126028;125760;136335;123608;123538;123608;123398;123468;123398;0;0;0;0;0;0;0;;;;;;;
Mar_BR;PG - Chiller;Receita Bruta de Vendas;40069;38143;13000;13000;13000;13000;13000;13000;13000;13000;13000;13000;0;0;0;0;0;0;0;0;0;0;;
