empresa_id;empresa_nome;codigo_lancamento_omie;competencia;issue_type;issue_description
8w7t3s0f;DZM;11491983004;31/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983038;21/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983051;28/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983074;28/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983101;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983110;10/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983123;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983131;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983202;31/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983211;31/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983224;16/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983235;21/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983246;16/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983257;21/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983331;15/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983374;01/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983388;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983417;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983439;06/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983452;31/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983474;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983486;21/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983500;12/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983510;16/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983552;23/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983566;21/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983609;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983617;21/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983630;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983647;12/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983662;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983717;01/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983729;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983740;07/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983767;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983789;06/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983808;31/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983827;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983916;06/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983926;12/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983936;13/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983951;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983967;18/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983977;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491983998;01/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984011;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984031;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984054;06/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984067;31/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984100;30/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984114;10/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984130;12/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984145;13/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984181;21/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984217;31/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984236;10/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984251;10/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984280;15/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984296;15/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984310;15/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984325;15/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984339;15/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984350;15/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984373;22/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984383;10/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984393;22/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984401;27/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984409;29/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11491984417;10/01/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809610;17/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809629;17/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809639;28/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809651;04/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809682;11/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809699;17/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809764;17/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809803;17/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809820;10/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809834;01/05/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809863;22/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809887;22/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809909;24/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809930;25/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809940;12/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492809958;11/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810016;10/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810043;10/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810065;30/05/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810076;30/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810108;31/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810128;06/03/2025;projeto_ausente;Projeto ausente
