codigo_categoria;descricao_categoria;codigo_conta_dre
2.03.91;Vale Alimentação/Refeição;
2.03.92;Ajuda de custo;
2.03.93;Distribuição de Dividendos;
2.03.94;Sindicato;
2.03.95;Uniformes e/ou Vestimentas;
2.03.96;Credenciado Administrativo;
2.03.97;Acordos Trabalhistas;
2.03.98;Bonificação/Premiação;
2.03.99;Pró-Labore;
2.04;Despesas Administrativas;
2.04.01;Locação Imóveis - Despesas;
2.04.02;Condomínio;
2.04.03;Água e Esgoto;
2.04.04;Energia Elétrica;
2.04.05;Telefonia Móvel e/ou Fixa;
2.04.06;Material de Escritório;
2.04.07;Manutenção de Imobilizado;
2.04.08;Seguros;
2.04.09;IPTU;
2.04.10;Contabilidade;
2.04.11;Despesas Jurídicas;
2.04.12;Auditorias;
2.04.13;Segurança;
2.04.14;Limpeza e/ou Faxina;
2.04.93;Licenciamento Veículos;
2.04.94;A classificar;
2.04.95;Conectividade;
2.04.96;Alimentação/Refeição;
2.04.97;Internet;
2.04.98;Material de construção;
2.04.99;Licença de aplicativos e/ou aluguel de softwares - Administrativo;
2.05;Despesas Financeiras / Bancos;
2.05.01;Juros sobre Empréstimos;
2.05.02;Multas;
2.05.03;Pagamento de Empréstimos;
2.05.04;Tarifas Bancárias;
2.05.95;"&lt;Disponível&gt;";
2.05.96;"&lt;Disponível&gt;";
2.05.97;"&lt;Disponível&gt;";
2.05.98;"&lt;Disponível&gt;";
2.05.99;Seguro Fiança;
2.06;Impostos e Taxas;
2.06.01;ICMS;
2.06.02;IPI;
2.06.03;PIS;
2.06.04;COFINS;
2.06.05;IRPJ;
2.06.06;Contribuição Social;
2.06.07;ISS;
2.06.95;IOF;
2.06.96;"&lt;Disponível&gt;";
2.06.97;Provisão - IRPJ e CSSL Trimestral;
2.06.98;Impostos - Alvarás e/ou Licenças;
2.06.99;Simples Nacional (DAS);
2.07;Investimentos - Bens;
2.07.01;Máquinas e Equipamentos;
2.07.02;Veículos;
2.07.03;Instalações;
2.07.04;Equipamentos de Informática;
2.07.05;Móveis e Utensílios;
2.07.06;Celular e/ou aparelho de comunicação;
2.07.96;Periféricos e/ou smartphone;
2.07.97;Consórcios - contemplados;
2.07.98;Computador, notebook e/ou periféricos;
2.07.99;Eletrodomésticos;
2.08;Outras Despesas;
2.08.01;Adiantamento a Fornecedores;
2.08.02;Transferência entre contas;
2.08.88;Eventos e Confraternizações;
2.08.89;Despesas Extraordinárias;
2.08.90;Medicamentos;
2.08.91;Estacionamento;
2.08.92;Distribuição de Dividendos;
2.08.93;Recarga de cartão corporativo;
2.08.94;Provisão - Contingências;
2.08.95;Combustível;
2.08.96;Traslados - Deslocamentos;
2.08.97;Compra de insumos;
2.08.98;Pedágio;
2.08.99;Táxi e/ou aplicativos de transporte;
2.09;Devoluções de Vendas;
2.09.01;Devoluções de Vendas de Mercadoria;
2.09.02;Devoluções de Vendas de Serviços Prestados;
2.09.03;"&lt;Disponível&gt;";
2.09.04;"&lt;Disponível&gt;";
2.09.05;"&lt;Disponível&gt;";
2.10;Investimentos - Financeiros;
2.10.98;Renda Fixa;
2.10.99;Mútuo - Saídas;
